,subj_idx,date,time,trialtype,cue,response,side,error,rt,reward,iti,sess,sex
0,JK07,04-12,1380.188,D,2,0,L,0,0.349999999999909,1.240000000000009,3.8680000000001655,1,M
1,JK07,04-12,1405.092,S,2,0,L,0,0.8299999999999272,2.574000000000069,24.904,1,M
2,JK07,04-12,1437.718,S,8,1,R,0,0.4220000000000254,2.27599999999984,32.625999999999976,1,M
3,JK07,04-12,1729.672,S,8,1,L,0,1.8859999999999677,1.3959999999999582,16.508000000000038,1,M
4,JK07,04-12,1747.42,S,8,1,R,0,0.4860000000001037,1.8659999999999852,17.748000000000047,1,M
5,JK07,04-12,1779.232,S,8,1,L,0,1.1119999999998529,1.5360000000000582,31.811999999999895,1,M
6,JK07,04-12,1803.658,S,2,0,R,0,0.5499999999999545,3.7200000000000273,24.42599999999993,1,M
7,JK07,04-12,1821.942,S,2,0,R,0,0.4080000000001291,1.3999999999998636,18.284000000000106,1,M
8,JK07,04-12,1837.14,D,8,1,L,0,0.487999999999829,1.4540000000001785,15.198000000000093,1,M
9,JK07,04-12,1845.22,S,8,1,R,0,0.4780000000000655,1.3959999999999582,8.079999999999927,1,M
10,JK07,04-12,1855.798,S,2,0,L,0,0.4619999999999891,1.47199999999998,10.577999999999976,1,M
11,JK07,04-12,1886.352,S,2,0,R,0,0.4220000000000254,1.4200000000000728,30.554000000000087,1,M
12,JK07,04-12,1890.316,D,8,1,R,0,0.3179999999999836,1.58199999999988,3.963999999999942,1,M
13,JK07,04-12,1901.91,D,8,1,L,0,0.4800000000000182,1.2280000000000657,11.594000000000053,1,M
14,JK07,04-12,1908.144,D,8,1,R,0,0.5679999999999836,2.0779999999999745,6.233999999999924,1,M
15,JK07,04-12,1916.612,D,8,1,L,0,0.3900000000001,2.3559999999999945,8.468000000000075,1,M
16,JK07,04-12,1928.848,D,8,1,L,0,0.5339999999998781,2.009999999999991,12.235999999999876,1,M
17,JK07,04-12,1958.39,D,8,1,R,0,0.7040000000001783,1.843999999999824,29.542000000000144,1,M
18,JK07,04-12,1979.698,S,2,0,R,0,0.8339999999998327,1.5260000000000673,21.307999999999996,1,M
19,JK07,04-12,1989.502,D,8,1,R,0,0.5779999999999745,1.7019999999999982,9.80399999999986,1,M
20,JK07,04-12,1997.692,D,8,1,L,0,0.3420000000000982,2.910000000000082,8.190000000000055,1,M
21,JK07,04-12,2008.46,S,8,1,L,0,0.543999999999869,1.6059999999999943,10.768000000000027,1,M
22,JK07,04-12,2025.85,D,2,0,R,0,0.5040000000001328,1.5579999999999927,17.389999999999873,1,M
23,JK07,04-12,2036.606,D,8,1,R,0,0.6839999999999691,1.240000000000009,10.756000000000084,1,M
24,JK07,04-12,2044.782,D,8,1,L,0,0.5119999999997162,1.8040000000000875,8.17599999999993,1,M
25,JK07,04-12,2052.698,D,2,0,R,0,0.4160000000001673,1.4420000000000073,7.91599999999994,1,M
26,JK07,04-12,2060.204,S,2,0,R,0,1.1019999999998618,1.438000000000102,7.506000000000313,1,M
27,JK07,04-12,2074.71,D,2,0,R,0,0.3919999999998254,1.7980000000002292,14.505999999999858,1,M
28,JK07,04-12,2085.746,S,8,1,R,0,0.4559999999996762,1.6159999999999854,11.036000000000058,1,M
29,JK07,04-12,2105.434,S,8,1,L,0,0.4259999999999309,1.4360000000001492,19.688000000000105,1,M
30,JK07,04-12,2114.016,D,8,1,R,0,0.3020000000001346,1.360000000000127,8.58199999999988,1,M
31,JK07,04-12,2126.11,S,8,1,R,0,0.5039999999999054,1.4259999999999309,12.094000000000053,1,M
32,JK07,04-12,2133.884,S,2,0,R,0,0.6359999999999673,1.636000000000422,7.773999999999887,1,M
33,JK07,04-12,2146.974,S,8,1,R,0,0.4859999999998763,1.518000000000029,13.090000000000146,1,M
